test1	test2	test3
49685.90377	16175.43469	16175.43469
23148.47956	10943.70427	10943.70427
173668.6722	6364.78778	6364.78778
7038.20699	113620.0174	113620.0174
129178.6883	822.00484	822.00484
29323.11837	78902.21738	78902.21738
45902.96868	33907.07655	33907.07655
2008.41544	3418.61764	3418.61764
31324.82774	58852.75934	58852.75934
10301.30831	4260.48572	4260.48572
15028.73297	69863.63817	69863.63817
26659.41696	23823.6973	23823.6973
14205.10109	145672.9471	145672.9471
3779.0296	104138.5452	104138.5452
26872.14733	4404.62782	4404.62782
108008.5034	4865.58777	4865.58777
1710.77802	185903.44	185903.44
452.11897	4941.7025	4941.7025
99310.55279	562.06584	562.06584
133605.6408	4247.13978	4247.13978
583.27933	6.75179	6.75179
4908.35965	72807.44862	72807.44862
41411.30746	9551.76498	9551.76498
1725.93711	35039.83457	35039.83457
2681.06602	51788.22715	51788.22715
1252.54159	92445.3884	92445.3884
5236.50655	23241.95916	23241.95916
38519.75059	786.22879	786.22879
2984.14845	71606.15447	71606.15447
1271.25834	106511.6738	106511.6738
1927.90296	2743.50461	2743.50461
80903.35747	16209.18094	16209.18094
28160.07027	24900.28487	24900.28487
119791.3274	48806.81993	48806.81993
29984.13219	4085.98941	4085.98941
40635.07516	24497.40349	24497.40349
90628.68644	76765.5023	76765.5023
4535.12424	30132.91576	30132.91576
115943.2771	40300.94489	40300.94489
51858.35249	7524.47641	7524.47641
32522.52035	144126.4924	144126.4924
16244.81045	563.88019	563.88019
9095.92167	37034.48883	37034.48883
6751.12407	71826.02786	71826.02786
1262.70982	54317.09498	54317.09498
12676.91512	5550.41749	5550.41749
63767.59824	114077.9851	114077.9851
12886.96017	45564.58988	45564.58988
122168.5623	24296.54299	24296.54299
9147.59717	1152.49289	1152.49289
9596.20548	6828.19222	6828.19222
1664.13467	182.44521	182.44521
48069.65627	55204.51305	55204.51305
98421.70904	13395.10086	13395.10086
302.29428	1867.12115	1867.12115
4598.06975	93397.92325	93397.92325
131017.2148	191136.8704	191136.8704
38450.6232	21928.3411	21928.3411
8352.16704	14384.53887	14384.53887
1669.40706	31544.60967	31544.60967
45355.8114	238268.256	238268.256
15012.27331	25669.98818	25669.98818
50260.3742	709.06426	709.06426
185235.9079	33440.35006	33440.35006
1571.62915	2439.15071	2439.15071
25502.98311	6426.13988	6426.13988
944.97531	18422.31422	18422.31422
6752.90543	10844.91034	10844.91034
3884.77853	48998.59664	48998.59664
106854.3492	8546.88145	8546.88145
4527.24764	2048.45561	2048.45561
18432.5499	213232.2254	213232.2254
57963.94336	349158.3744	349158.3744
3170.90115	9249.50842	9249.50842
65937.49039	492.39991	492.39991
19699.605	77590.23311	77590.23311
1988.94586	33692.534	33692.534
158461.7045	45236.54868	45236.54868
131495.8568	19359.28494	19359.28494
1338.54239	138421.7733	138421.7733
3093.63906	3752.57307	3752.57307
14390.7004	1321.0136	1321.0136
3866.13327	38474.77258	38474.77258
154793.3765	311.25713	311.25713
13934.11354	4593.82671	4593.82671
38.83769	17740.8203	17740.8203
914.56151	31685.4386	31685.4386
99696.69869	2317.77638	2317.77638
41834.2836	26407.67513	26407.67513
2013.6968	21925.84525	21925.84525
407.91425	47655.92956	47655.92956
21578.34855	29832.90966	29832.90966
4448.43751	13346.61043	13346.61043
2225.39227	1982.49511	1982.49511
26364.90471	1777.19659	1777.19659
87163.58641	97122.31843	97122.31843
42391.6261	21725.97795	21725.97795
8132.61156	2843.08443	2843.08443
145475.3373	17151.31112	17151.31112
17689.06914	10166.30843	10166.30843
9090.62817	9140.51091	9140.51091
5408.09676	27119.63873	27119.63873
56955.81975	2813.87108	2813.87108
29481.1202	31568.39523	31568.39523
284876.9586	1781.95751	1781.95751
82087.24922	136195.3435	136195.3435
435.54052	4353.65665	4353.65665
5710.92509	9648.34062	9648.34062
125483.7296	11214.21487	11214.21487
842174.843	27654.82125	27654.82125
690.08771	41054.67152	41054.67152
82403.32693	16655.35741	16655.35741
1894.5187	7543.99579	7543.99579
86016.22088	38297.0022	38297.0022
2263.19897	54006.84466	54006.84466
153886.7715	56284.50368	56284.50368
1238.8379	28094.82404	28094.82404
192418.8272	52363.87264	52363.87264
38172.81082	449.02955	449.02955
31107.73087	47287.90399	47287.90399
23011.02977	158407.6843	158407.6843
68790.05813	47607.34456	47607.34456
829.52019	213955.9414	213955.9414
3000.06783	14806.62491	14806.62491
8404.5717	1387.43719	1387.43719
84737.02959	1429.36812	1429.36812
12249.98645	10813.17457	10813.17457
264574.0425	12203.52164	12203.52164
56627.57136	40154.6509	40154.6509
17634.69222	42232.15135	42232.15135
4581.91659	3238.03855	3238.03855
3788.49105	130862.1721	130862.1721
919.74929	15989.58646	15989.58646
3311.16059	180.1808	180.1808
32065.06244	3785.54507	3785.54507
32183.23763	26758.17365	26758.17365
29009.15299	12029.14385	12029.14385
38868.13848	84461.81496	84461.81496
15731.27425	6411.46626	6411.46626
72098.62446	18448.30931	18448.30931
1492.28922	7346.80576	7346.80576
3009.71475	154398.2766	154398.2766
88402.85687	2962.97842	2962.97842
6447.1889	36567.133	36567.133
70536.05149	26788.7803	26788.7803
10943.70427	50612.97521	50612.97521
6364.78778	81844.61932	81844.61932
113620.0174	6122.36558	6122.36558
822.00484	515238.2978	515238.2978
33907.07655	8735.73097	8735.73097
3418.61764	13238.02725	13238.02725
58852.75934	3183.17777	3183.17777
4260.48572	26398.20712	26398.20712
69863.63817	1250.66024	1250.66024
23823.6973	1192.40792	1192.40792
145672.9471	4548.64352	4548.64352
104138.5452	5588.18532	5588.18532
4404.62782	25110.42033	25110.42033
4865.58777	431.57621	431.57621
185903.44	510.43922	510.43922
4941.7025	32316.51853	32316.51853
562.06584	106957.8509	106957.8509
6.75179	18690.06915	18690.06915
72807.44862	34382.53982	34382.53982
92445.3884	54656.23295	54656.23295
23241.95916	68654.31913	68654.31913
786.22879	1529.53915	1529.53915
106511.6738	72518.54212	72518.54212
2743.50461	14048.99306	14048.99306
16209.18094	20873.10297	20873.10297
24900.28487	19720.25778	19720.25778
48806.81993	17709.40234	17709.40234
4085.98941	83544.56445	83544.56445
76765.5023	4165.32517	4165.32517
30132.91576	94517.60631	94517.60631
40300.94489	16068.35142	16068.35142
7524.47641	121821.3303	121821.3303
144126.4924	52797.14659	52797.14659
563.88019	119059.9718	119059.9718
71826.02786	51562.44021	51562.44021
45564.58988	706.67086	706.67086
55204.51305	16215.30989	16215.30989
13395.10086	9743.04566	9743.04566
1867.12115	34826.81397	34826.81397
93397.92325	760	760
14384.53887	52744.96305	52744.96305
238268.256	17922.06235	17922.06235
25669.98818	32776.183	32776.183
709.06426	258596.304	258596.304
33440.35006	47193.27394	47193.27394
6426.13988	13346.03383	13346.03383
48998.59664	61780.89453	61780.89453
2048.45561	25768.14782	25768.14782
349158.3744	25211.72606	25211.72606
77590.23311	102883.4177	102883.4177
33692.534	41516.46996	41516.46996
19359.28494	24577.76367	24577.76367
138421.7733	13024.99164	13024.99164
3752.57307	259873.2163	259873.2163
311.25713	172077.4859	172077.4859
4593.82671	569.97113	569.97113
17740.8203	1469.58113	1469.58113
31685.4386	7255.81578	7255.81578
47655.92956	25228.54281	25228.54281
13346.61043	36107.29099	36107.29099
97122.31843	7768.95489	7768.95489
21725.97795	6108.18786	6108.18786
9140.51091	9335.24478	9335.24478
27119.63873	473.7455	473.7455
2813.87108	9492.24379	9492.24379
31568.39523	11080.97616	11080.97616
136195.3435	801.11369	801.11369
9648.34062	1521.46127	1521.46127
41054.67152	759.86007	759.86007
16655.35741	15410.33861	15410.33861
7543.99579	24777.67779	24777.67779
54006.84466	112717.0095	112717.0095
56284.50368	3413.06088	3413.06088
28094.82404	151438.5434	151438.5434
52363.87264	1188.05381	1188.05381
40154.6509	13797.402	13797.402
42232.15135	5407.10558	5407.10558
3238.03855	186.14719	186.14719
15989.58646	25875.32049	25875.32049
3785.54507	34362.15591	34362.15591
26758.17365	82705.22754	82705.22754
12029.14385	2453.70963	2453.70963
18448.30931	6449.04141	6449.04141
2962.97842	22172.96836	22172.96836
36567.133	33622.01654	33622.01654
26788.7803	6691.90895	6691.90895
81844.61932	48539.2948	48539.2948
8735.73097	105307.3892	105307.3892
13238.02725	55430.29585	55430.29585
26398.20712	25361.02017	25361.02017
5588.18532	2140.99909	2140.99909
510.43922	5095.03467	5095.03467
32316.51853	495.86057	495.86057
34382.53982	9211.64306	9211.64306
54656.23295	157337.039	157337.039
68654.31913	9970.10317	9970.10317
1529.53915	119124.0622	119124.0622
72518.54212	131664.655	131664.655
14048.99306	1287.52791	1287.52791
20873.10297	1297.40622	1297.40622
19720.25778	8729.17478	8729.17478
4165.32517	4545.78475	4545.78475
94517.60631	51158.04698	51158.04698
16068.35142	24023.60373	24023.60373
52797.14659	33369.74014	33369.74014
119059.9718	55651.65394	55651.65394
51562.44021	1145.10547	1145.10547
706.67086	7740.18373	7740.18373
16215.30989	8292.27435	8292.27435
9743.04566	25689.56389	25689.56389
760	21266.2891	21266.2891
17922.06235	94810.64853	94810.64853
32776.183	283.1161	283.1161
258596.304	35468.56837	35468.56837
47193.27394	14174.85222	14174.85222
61780.89453	4793.10456	4793.10456
25768.14782	97927.16208	97927.16208
25211.72606	10899.39577	10899.39577
102883.4177	39464.10282	39464.10282
24577.76367	2927.52638	2927.52638
13024.99164	13404.88733	13404.88733
259873.2163	101287.2486	101287.2486
569.97113	2702.73732	2702.73732
1469.58113	37237.10043	37237.10043
36107.29099	38142.32285	38142.32285
7768.95489	3740.60423	3740.60423
9335.24478	20892.4327	20892.4327
9492.24379	31149.88946	31149.88946
11080.97616	2400.91998	2400.91998
801.11369	7391.81656	7391.81656
1521.46127	36689.75423	36689.75423
15410.33861	10968.63766	10968.63766
24777.67779	183.26802	183.26802
112717.0095	402469.1736	402469.1736
3413.06088	122860.679	122860.679
13797.402	95.05181	95.05181
5407.10558	588356.7115	588356.7115
34362.15591	43102.84983	43102.84983
82705.22754	62667.62496	62667.62496
2453.70963	10061.7908	10061.7908
22172.96836	331404.4928	331404.4928
33622.01654	17602.02611	17602.02611
6691.90895	11478.92402	11478.92402
48539.2948	2734.73012	2734.73012
25361.02017	74261.36647	74261.36647
2140.99909	13260.61008	13260.61008
157337.039	119490.7493	119490.7493
9970.10317	129.70596	129.70596
119124.0622	6583.15685	6583.15685
131664.655	77841.70223	77841.70223
1297.40622	1215.18697	1215.18697
8729.17478	16212.79973	16212.79973
24023.60373	1860.30271	1860.30271
55651.65394	28462.19477	28462.19477
1145.10547	1967.85936	1967.85936
7740.18373	7916.40893	7916.40893
8292.27435	83181.81071	83181.81071
21266.2891	57937.79006	57937.79006
94810.64853	30091.1385	30091.1385
283.1161	149508.8322	149508.8322
39464.10282	11449.81368	11449.81368
13404.88733	6227.25174	6227.25174
101287.2486	123010.2714	123010.2714
38142.32285	4184.85551	4184.85551
20892.4327	122163.0038	122163.0038
31149.88946	147007.8023	147007.8023
2400.91998	21422.19207	21422.19207
7391.81656	22775.07582	22775.07582
36689.75423	66679.83937	66679.83937
10968.63766	196335.7456	196335.7456
183.26802	872.97861	872.97861
122860.679	25093.79972	25093.79972
43102.84983	9705.23107	9705.23107
10061.7908	12272.66119	12272.66119
331404.4928	8411.61515	8411.61515
11478.92402	21663.94088	21663.94088
2734.73012	17165.55044	17165.55044
74261.36647	1006.23007	1006.23007
13260.61008	71647.84805	71647.84805
119490.7493	3381.27869	3381.27869
129.70596	4548.14668	4548.14668
1860.30271	18071.03758	18071.03758
57937.79006	59743.02955	59743.02955
30091.1385	40619.51269	40619.51269
149508.8322	10748.02466	10748.02466
11449.81368	24077.87454	24077.87454
6227.25174	5000.62244	5000.62244
123010.2714	70357.55212	70357.55212
4184.85551	2926.15385	2926.15385
122163.0038	24780.39995	24780.39995
21422.19207	7177.73973	7177.73973
66679.83937	106228.2564	106228.2564
9705.23107	86939.88567	86939.88567
1006.23007	44661.31375	44661.31375
4548.14668	90797.04803	90797.04803
59743.02955	145306.009	145306.009
40619.51269	28080.17657	28080.17657
10748.02466	4265.9628	4265.9628
5000.62244	46339.11472	46339.11472
70357.55212	3020.93001	3020.93001
2926.15385	354123.4727	354123.4727
24780.39995	46769.24127	46769.24127
7177.73973	213563.977	213563.977
86939.88567	2821.96731	2821.96731
90797.04803	1527.39563	1527.39563
145306.009	4380.85194	4380.85194
28080.17657	7856.9132	7856.9132
46339.11472	21620.81016	21620.81016
3020.93001	49.44463	49.44463
213563.977	15095.62101	15095.62101
1527.39563	339463.7459	339463.7459
21620.81016	7111.09265	7111.09265
49.44463	112168.6108	112168.6108
7111.09265	9841.47305	9841.47305
112168.6108	22923.50608	22923.50608
9841.47305	37568.9217	37568.9217
22923.50608	8557.28806	8557.28806
37568.9217	8449.38755	8449.38755
8557.28806	108651.1345	108651.1345
108651.1345	68080.52477	68080.52477
68706.16568	68706.16568	68706.16568
22425.94622	22425.94622	22425.94622
14599.66124	14599.66124	14599.66124
59347.85729	59347.85729	59347.85729
432.29568	432.29568	432.29568
4449.68613	4449.68613	4449.68613
2798.39321	2798.39321	2798.39321
2081.53998	2081.53998	2081.53998
74464.04852	74464.04852	74464.04852
1588.10852	1588.10852	1588.10852
23087.79052	23087.79052	23087.79052
72832.25986	72832.25986	72832.25986
9080.71217	9080.71217	9080.71217
36772.52522	36772.52522	36772.52522
32452.60619	32452.60619	32452.60619
14439.04853	14439.04853	14439.04853
28825.34206	28825.34206	28825.34206
7604.20633	7604.20633	7604.20633
46999.0966	46999.0966	46999.0966
49821.08294	49821.08294	49821.08294
14045.45131	14045.45131	14045.45131
3546.20075	3546.20075	3546.20075
10818.49957	10818.49957	10818.49957
7020.91145	7020.91145	7020.91145
27470.99643	27470.99643	27470.99643
1491.58263	1491.58263	1491.58263
49805.40821	49805.40821	49805.40821
2762.56396	2762.56396	2762.56396
84082.41706	84082.41706	84082.41706
2704.55802	2704.55802	2704.55802
159235.7457	159235.7457	159235.7457
8876.36198	8876.36198	8876.36198
14356.1272	14356.1272	14356.1272
208788.1782	208788.1782	208788.1782
10783.60424	10783.60424	10783.60424
2344.47127	2344.47127	2344.47127
141058.5467	141058.5467	141058.5467
879.90386	879.90386	879.90386
96628.39008	96628.39008	96628.39008
69655.91763	69655.91763	69655.91763
1525.45349	1525.45349	1525.45349
92108.72021	92108.72021	92108.72021
3939.66636	3939.66636	3939.66636
9887.03147	9887.03147	9887.03147
41531.11111	41531.11111	41531.11111
5437.76238	5437.76238	5437.76238
468.04343	468.04343	468.04343
1779.01142	1779.01142	1779.01142
24497.004	24497.004	24497.004
27159.38739	27159.38739	27159.38739
897.49646	897.49646	897.49646
12708.30793	12708.30793	12708.30793
63569.47454	63569.47454	63569.47454
1687.01535	1687.01535	1687.01535
2321.71774	2321.71774	2321.71774
73199.40833	73199.40833	73199.40833
2407.75419	2407.75419	2407.75419
4949.73588	4949.73588	4949.73588
19764.41917	19764.41917	19764.41917
1041.14177	1041.14177	1041.14177
2618.60465	2618.60465	2618.60465
12038.67071	12038.67071	12038.67071
18425.02847	18425.02847	18425.02847
45119.51718	45119.51718	45119.51718
